transaction_id,card_number,merchant_name,amount_usd,amount_cad,currency,conversion_rate,transaction_date,mcc_code,mcc_description,transaction_code,employee_id,employee_name,department,manager_id,job_level,approval_status,expense_report_id,ai_risk_score,ai_category,policy_flag,flag_reason,severity,receipt_url,trip_id,is_pre_authorized
TXN-003008,****-****-****-4004,COSTCO WHSE 44,83.2,114.73,USD,1.379,2025-08-02 08:13:00,5045,Computers & Peripherals,TXC-004,EMP004,Alice Chen,Finance,EMP002,4,APPROVED,,,,,,,https://receipts.brim.example/003008.pdf,,True
TXN-000656,****-****-****-4002,ESSO RETAIL 113,62.58,86.3,USD,1.379,2025-08-02 08:56:00,5172,Petroleum & Petroleum Products,TXC-002,EMP002,Priya Nair,Finance,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/000656.pdf,,True
TXN-003094,****-****-****-4004,ESSO RETAIL 113,139.52,192.4,USD,1.379,2025-08-02 12:31:00,5541,Service Stations,TXC-004,EMP004,Alice Chen,Finance,EMP002,4,APPROVED,,,,,,,https://receipts.brim.example/003094.pdf,,True
TXN-001052,****-****-****-4001,FLYING J #771,48.27,66.56,USD,1.379,2025-08-02 12:58:00,5541,Service Stations,TXC-001,EMP001,Olivia Reyes,Executive,,6,APPROVED,,,,,,,https://receipts.brim.example/001052.pdf,,True
TXN-000931,****-****-****-4008,PETRO-CANADA 8821,36.1,49.78,USD,1.379,2025-08-02 13:11:00,5541,Service Stations,TXC-008,EMP008,Eric Tran,Operations,EMP003,4,APPROVED,,,,,,,https://receipts.brim.example/000931.pdf,,True
TXN-001421,****-****-****-4007,A&W STORE 551,11.5,15.86,USD,1.379,2025-08-02 13:29:00,5814,Fast Food Restaurants,TXC-007,EMP007,Carol White,Finance,EMP004,2,APPROVED,,,,,,,https://receipts.brim.example/001421.pdf,,True
TXN-004108,****-****-****-4003,BEST WESTERN 71,114.85,158.38,USD,1.379,2025-08-02 15:03:00,7011,"Hotels, Motels & Resorts",TXC-003,EMP003,Marcus Webb,Operations,EMP001,5,APPROVED,,,,,,,,TRIP-0275,True
TXN-002006,****-****-****-4002,FLYING J #771,81.75,112.73,USD,1.379,2025-08-02 15:15:00,5172,Petroleum & Petroleum Products,TXC-002,EMP002,Priya Nair,Finance,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/002006.pdf,,True
TXN-004091,****-****-****-4008,MCDONALDS DT QPS,16.03,22.11,USD,1.379,2025-08-02 17:04:00,5814,Fast Food Restaurants,TXC-008,EMP008,Eric Tran,Operations,EMP003,4,APPROVED,,,,,,,https://receipts.brim.example/004091.pdf,,True
TXN-002904,****-****-****-4008,PETRO-CANADA 8821,202.38,279.08,USD,1.379,2025-08-02 18:54:00,5172,Petroleum & Petroleum Products,TXC-008,EMP008,Eric Tran,Operations,EMP003,4,APPROVED,,,,,,,https://receipts.brim.example/002904.pdf,,True
TXN-000352,****-****-****-4008,TIM HORTONS #882,21.91,30.21,USD,1.379,2025-08-02 19:01:00,5812,Eating Places & Restaurants,TXC-008,EMP008,Eric Tran,Operations,EMP003,4,APPROVED,,,,,,,https://receipts.brim.example/000352.pdf,,True
TXN-000131,****-****-****-4004,BEST WESTERN 71,85.2,117.49,USD,1.379,2025-08-02 19:48:00,7011,"Hotels, Motels & Resorts",TXC-004,EMP004,Alice Chen,Finance,EMP002,4,APPROVED,,,,,,,https://receipts.brim.example/000131.pdf,,True
TXN-002535,****-****-****-4009,HOLIDAY INN EXPRESS,147.53,203.44,USD,1.379,2025-08-02 20:45:00,7011,"Hotels, Motels & Resorts",TXC-009,EMP009,Grace Lee,Operations,EMP008,3,APPROVED,,,,,,,https://receipts.brim.example/002535.pdf,TRIP-0166,True
TXN-003571,****-****-****-4003,COMFORT INN 442,407.11,561.4,USD,1.379,2025-08-02 20:56:00,7011,"Hotels, Motels & Resorts",TXC-003,EMP003,Marcus Webb,Operations,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/003571.pdf,TRIP-0237,True
TXN-003573,****-****-****-4003,FLYING J #771,149.54,206.22,USD,1.379,2025-08-03 00:28:00,5172,Petroleum & Petroleum Products,TXC-003,EMP003,Marcus Webb,Operations,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/003573.pdf,TRIP-0237,True
TXN-002505,****-****-****-4004,PETRO-CANADA 8821,74.69,103.0,USD,1.379,2025-08-03 05:31:00,5172,Petroleum & Petroleum Products,TXC-004,EMP004,Alice Chen,Finance,EMP002,4,APPROVED,,,,,,,https://receipts.brim.example/002505.pdf,TRIP-0164,True
TXN-001776,****-****-****-4007,A&W STORE 551,38.66,53.31,USD,1.379,2025-08-03 07:10:00,5812,Eating Places & Restaurants,TXC-007,EMP007,Carol White,Finance,EMP004,2,APPROVED,,,,,,,https://receipts.brim.example/001776.pdf,,True
TXN-002491,****-****-****-4007,QUICK FUEL STOP,125.01,172.39,USD,1.379,2025-08-03 08:34:00,5541,Service Stations,TXC-007,EMP007,Carol White,Finance,EMP004,2,APPROVED,,,,,,,https://receipts.brim.example/002491.pdf,TRIP-0163,True
TXN-003492,****-****-****-4004,QUICK FUEL STOP,57.17,78.84,USD,1.379,2025-08-03 08:48:00,5541,Service Stations,TXC-004,EMP004,Alice Chen,Finance,EMP002,4,PENDING,,,,,,,https://receipts.brim.example/003492.pdf,,False
TXN-004070,****-****-****-4003,SUPER 8 MOTEL,153.47,211.64,USD,1.379,2025-08-03 10:17:00,7011,"Hotels, Motels & Resorts",TXC-003,EMP003,Marcus Webb,Operations,EMP001,5,APPROVED,,,,,,,,,True
TXN-004169,****-****-****-4004,A&W STORE 551,11.7,16.13,USD,1.379,2025-08-03 10:34:00,5814,Fast Food Restaurants,TXC-004,EMP004,Alice Chen,Finance,EMP002,4,APPROVED,,,,,,,https://receipts.brim.example/004169.pdf,,True
TXN-000583,****-****-****-4002,ESSO RETAIL 113,33.02,45.53,USD,1.379,2025-08-03 10:58:00,5541,Service Stations,TXC-002,EMP002,Priya Nair,Finance,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/000583.pdf,,True
TXN-003100,****-****-****-4008,BOSTON PIZZA 12,19.24,26.53,USD,1.379,2025-08-03 11:00:00,5812,Eating Places & Restaurants,TXC-008,EMP008,Eric Tran,Operations,EMP003,4,APPROVED,,,,,,,https://receipts.brim.example/003100.pdf,,True
TXN-004110,****-****-****-4003,A&W STORE 551,6.77,9.34,USD,1.379,2025-08-03 11:16:00,5812,Eating Places & Restaurants,TXC-003,EMP003,Marcus Webb,Operations,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/004110.pdf,TRIP-0275,True
TXN-002857,****-****-****-4007,BEST WESTERN 71,158.04,217.94,USD,1.379,2025-08-03 17:19:00,7011,"Hotels, Motels & Resorts",TXC-007,EMP007,Carol White,Finance,EMP004,2,APPROVED,,,,,,,https://receipts.brim.example/002857.pdf,TRIP-0186,True
TXN-000476,****-****-****-4009,A&W STORE 551,68.07,93.87,USD,1.379,2025-08-03 17:58:00,5812,Eating Places & Restaurants,TXC-009,EMP009,Grace Lee,Operations,EMP008,3,APPROVED,,,,,,,https://receipts.brim.example/000476.pdf,,True
TXN-002900,****-****-****-4002,BOSTON PIZZA 12,41.61,57.38,USD,1.379,2025-08-03 19:03:00,5812,Eating Places & Restaurants,TXC-002,EMP002,Priya Nair,Finance,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/002900.pdf,,True
TXN-001107,****-****-****-4004,PILOT TRAVEL 209,38.71,53.38,USD,1.379,2025-08-03 19:54:00,5172,Petroleum & Petroleum Products,TXC-004,EMP004,Alice Chen,Finance,EMP002,4,APPROVED,,,,,,,https://receipts.brim.example/001107.pdf,,True
TXN-003574,****-****-****-4003,ESSO RETAIL 113,54.43,75.06,USD,1.379,2025-08-03 20:36:00,5172,Petroleum & Petroleum Products,TXC-003,EMP003,Marcus Webb,Operations,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/003574.pdf,TRIP-0237,True
TXN-002240,****-****-****-4002,PETRO-CANADA 8821,116.79,161.05,USD,1.379,2025-08-03 21:00:00,5541,Service Stations,TXC-002,EMP002,Priya Nair,Finance,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/002240.pdf,,True
TXN-002517,****-****-****-4006,HOLIDAY INN EXPRESS,174.51,240.65,USD,1.379,2025-08-03 21:40:00,7011,"Hotels, Motels & Resorts",TXC-006,EMP006,Bob Kumar,Finance,EMP004,2,APPROVED,,,,,,,https://receipts.brim.example/002517.pdf,TRIP-0165,True
TXN-002276,****-****-****-4007,PETRO-CANADA 8821,28.5,39.3,USD,1.379,2025-08-04 07:26:00,5172,Petroleum & Petroleum Products,TXC-007,EMP007,Carol White,Finance,EMP004,2,APPROVED,,,,,,,https://receipts.brim.example/002276.pdf,,True
TXN-003914,****-****-****-4003,DAYS INN 209,176.93,243.99,USD,1.379,2025-08-04 07:44:00,7011,"Hotels, Motels & Resorts",TXC-003,EMP003,Marcus Webb,Operations,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/003914.pdf,,True
TXN-002489,****-****-****-4007,DAYS INN 209,114.83,158.35,USD,1.379,2025-08-04 07:53:00,7011,"Hotels, Motels & Resorts",TXC-007,EMP007,Carol White,Finance,EMP004,2,APPROVED,,,,,,,https://receipts.brim.example/002489.pdf,TRIP-0163,True
TXN-002503,****-****-****-4004,HOLIDAY INN EXPRESS,179.76,247.89,USD,1.379,2025-08-04 09:35:00,7011,"Hotels, Motels & Resorts",TXC-004,EMP004,Alice Chen,Finance,EMP002,4,APPROVED,,,,,,,https://receipts.brim.example/002503.pdf,TRIP-0164,True
TXN-000588,****-****-****-4009,QUICK FUEL STOP,39.92,55.05,USD,1.379,2025-08-04 09:51:00,5172,Petroleum & Petroleum Products,TXC-009,EMP009,Grace Lee,Operations,EMP008,3,APPROVED,,,,,,,https://receipts.brim.example/000588.pdf,,True
TXN-000191,****-****-****-4002,ROADSIDE GRILL CO,12.4,17.1,USD,1.379,2025-08-04 11:30:00,5812,Eating Places & Restaurants,TXC-002,EMP002,Priya Nair,Finance,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/000191.pdf,,True
TXN-000634,****-****-****-4003,TIM HORTONS #882,14.9,20.55,USD,1.379,2025-08-04 11:36:00,5814,Fast Food Restaurants,TXC-003,EMP003,Marcus Webb,Operations,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/000634.pdf,,True
TXN-002575,****-****-****-4002,SUBWAY 40021,20.53,28.31,USD,1.379,2025-08-04 12:05:00,5814,Fast Food Restaurants,TXC-002,EMP002,Priya Nair,Finance,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/002575.pdf,,True
TXN-000457,****-****-****-4004,COSTCO WHSE 44,147.92,203.98,USD,1.379,2025-08-04 12:29:00,5300,Wholesale Clubs,TXC-004,EMP004,Alice Chen,Finance,EMP002,4,PENDING,,,,,,,,,False
TXN-003996,****-****-****-4004,AWS MEMB,308.25,425.08,USD,1.379,2025-08-04 14:15:00,4814,Telecom Services,TXC-004,EMP004,Alice Chen,Finance,EMP002,4,APPROVED,,,,,,,https://receipts.brim.example/003996.pdf,,True
TXN-001984,****-****-****-4009,BOSTON PIZZA 12,21.97,30.3,USD,1.379,2025-08-04 18:02:00,5814,Fast Food Restaurants,TXC-009,EMP009,Grace Lee,Operations,EMP008,3,APPROVED,,,,,,,https://receipts.brim.example/001984.pdf,,True
TXN-000559,****-****-****-4002,A&W STORE 551,21.03,29.0,USD,1.379,2025-08-04 18:30:00,5812,Eating Places & Restaurants,TXC-002,EMP002,Priya Nair,Finance,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/000559.pdf,,True
TXN-000780,****-****-****-4003,MIDAS AUTO 21,380.89,525.25,USD,1.379,2025-08-04 18:30:00,7538,Automotive Service Shops,TXC-003,EMP003,Marcus Webb,Operations,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/000780.pdf,,True
TXN-004048,****-****-****-4003,FLYING J #771,20.06,27.66,USD,1.379,2025-08-04 19:44:00,5172,Petroleum & Petroleum Products,TXC-003,EMP003,Marcus Webb,Operations,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/004048.pdf,,True
TXN-001827,****-****-****-4002,BEST WESTERN 71,203.59,280.75,USD,1.379,2025-08-04 20:15:00,7011,"Hotels, Motels & Resorts",TXC-002,EMP002,Priya Nair,Finance,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/001827.pdf,TRIP-0122,True
TXN-002600,****-****-****-4009,CANADIAN TIRE 445,134.15,184.99,USD,1.379,2025-08-04 20:39:00,7538,Automotive Service Shops,TXC-009,EMP009,Grace Lee,Operations,EMP008,3,APPROVED,,,,,,,https://receipts.brim.example/002600.pdf,,True
TXN-002504,****-****-****-4004,ROADSIDE GRILL CO,16.09,22.19,USD,1.379,2025-08-05 08:06:00,5814,Fast Food Restaurants,TXC-004,EMP004,Alice Chen,Finance,EMP002,4,APPROVED,,,,,,,https://receipts.brim.example/002504.pdf,TRIP-0164,True
TXN-002355,****-****-****-4009,AMAZON MKTPLACE,10.36,14.29,USD,1.379,2025-08-05 09:37:00,5943,Stationery & Writing Supplies,TXC-009,EMP009,Grace Lee,Operations,EMP008,3,APPROVED,,,,,,,https://receipts.brim.example/002355.pdf,,True
TXN-001830,****-****-****-4008,PILOT TRAVEL 209,39.95,55.09,USD,1.379,2025-08-05 09:42:00,5541,Service Stations,TXC-008,EMP008,Eric Tran,Operations,EMP003,4,APPROVED,,,,,,,https://receipts.brim.example/001830.pdf,,True
TXN-004157,****-****-****-4009,PILOT TRAVEL 209,156.39,215.66,USD,1.379,2025-08-05 10:15:00,5541,Service Stations,TXC-009,EMP009,Grace Lee,Operations,EMP008,3,APPROVED,,,,,,,https://receipts.brim.example/004157.pdf,,True
TXN-003548,****-****-****-4007,QUICK FUEL STOP,61.79,85.21,USD,1.379,2025-08-05 10:46:00,5172,Petroleum & Petroleum Products,TXC-007,EMP007,Carol White,Finance,EMP004,2,APPROVED,,,,,,,https://receipts.brim.example/003548.pdf,,True
TXN-000901,****-****-****-4007,BOSTON PIZZA 12,118.09,162.85,USD,1.379,2025-08-05 11:35:00,5812,Eating Places & Restaurants,TXC-007,EMP007,Carol White,Finance,EMP004,2,APPROVED,,,,,,,https://receipts.brim.example/000901.pdf,,True
TXN-003133,****-****-****-4007,PILOT TRAVEL 209,82.8,114.18,USD,1.379,2025-08-05 11:43:00,5172,Petroleum & Petroleum Products,TXC-007,EMP007,Carol White,Finance,EMP004,2,APPROVED,,,,,,,https://receipts.brim.example/003133.pdf,,True
TXN-003565,****-****-****-4009,QUICK FUEL STOP,175.02,241.35,USD,1.379,2025-08-05 12:19:00,5541,Service Stations,TXC-009,EMP009,Grace Lee,Operations,EMP008,3,APPROVED,,,,,,,https://receipts.brim.example/003565.pdf,,True
TXN-002328,****-****-****-4007,PRECISE PARKLINK,9.8,13.51,USD,1.379,2025-08-05 12:55:00,7523,Parking Lots & Garages,TXC-007,EMP007,Carol White,Finance,EMP004,2,APPROVED,,,,,,,https://receipts.brim.example/002328.pdf,,True
TXN-000508,****-****-****-4005,GOOGLE WORKSPACE,120.34,165.95,USD,1.379,2025-08-05 13:38:00,5734,Computer Software Stores,TXC-005,EMP005,Dana Park,Finance,EMP002,3,APPROVED,,,,,,,https://receipts.brim.example/000508.pdf,,True
TXN-001547,****-****-****-4009,ULTRAMAR 55,106.13,146.35,USD,1.379,2025-08-05 13:40:00,5172,Petroleum & Petroleum Products,TXC-009,EMP009,Grace Lee,Operations,EMP008,3,PENDING,,,,,,,https://receipts.brim.example/001547.pdf,,False
TXN-001689,****-****-****-4008,A&W STORE 551,22.54,31.08,USD,1.379,2025-08-05 13:57:00,5812,Eating Places & Restaurants,TXC-008,EMP008,Eric Tran,Operations,EMP003,4,APPROVED,,,,,,,https://receipts.brim.example/001689.pdf,,True
TXN-001409,****-****-****-4009,407 ETR TOLL,37.21,51.31,USD,1.379,2025-08-05 16:39:00,4131,Bus Lines / Tolls,TXC-009,EMP009,Grace Lee,Operations,EMP008,3,APPROVED,,,,,,,https://receipts.brim.example/001409.pdf,,True
TXN-000966,****-****-****-4003,BEST BUY 112,198.63,273.91,USD,1.379,2025-08-05 17:21:00,5300,Wholesale Clubs,TXC-003,EMP003,Marcus Webb,Operations,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/000966.pdf,,True
TXN-002097,****-****-****-4008,PETRO-CANADA 8821,20.44,28.19,USD,1.379,2025-08-05 17:49:00,5541,Service Stations,TXC-008,EMP008,Eric Tran,Operations,EMP003,4,APPROVED,,,,,,,https://receipts.brim.example/002097.pdf,,True
TXN-003161,****-****-****-4008,ULTRAMAR 55,55.74,76.87,USD,1.379,2025-08-05 18:33:00,5541,Service Stations,TXC-008,EMP008,Eric Tran,Operations,EMP003,4,PENDING,,,,,,,https://receipts.brim.example/003161.pdf,,False
TXN-000142,****-****-****-4009,FLYING J #771,48.06,66.27,USD,1.379,2025-08-05 19:47:00,5541,Service Stations,TXC-009,EMP009,Grace Lee,Operations,EMP008,3,APPROVED,,,,,,,https://receipts.brim.example/000142.pdf,,True
TXN-001761,****-****-****-4009,A&W STORE 551,22.52,31.06,USD,1.379,2025-08-05 20:10:00,5812,Eating Places & Restaurants,TXC-009,EMP009,Grace Lee,Operations,EMP008,3,APPROVED,,,,,,,https://receipts.brim.example/001761.pdf,,True
TXN-000462,****-****-****-4008,407 ETR TOLL,26.88,37.07,USD,1.379,2025-08-06 07:49:00,7523,Parking Lots & Garages,TXC-008,EMP008,Eric Tran,Operations,EMP003,4,APPROVED,,,,,,,https://receipts.brim.example/000462.pdf,,True
TXN-001603,****-****-****-4002,ROADSIDE GRILL CO,10.35,14.27,USD,1.379,2025-08-06 13:16:00,5812,Eating Places & Restaurants,TXC-002,EMP002,Priya Nair,Finance,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/001603.pdf,TRIP-0108,True
TXN-003838,****-****-****-4009,MCDONALDS DT QPS,28.4,39.16,USD,1.379,2025-08-06 13:54:00,5812,Eating Places & Restaurants,TXC-009,EMP009,Grace Lee,Operations,EMP008,3,APPROVED,,,,,,,https://receipts.brim.example/003838.pdf,TRIP-0255,True
TXN-002118,****-****-****-4008,SHELL DT #4421,44.01,60.69,USD,1.379,2025-08-06 13:56:00,5541,Service Stations,TXC-008,EMP008,Eric Tran,Operations,EMP003,4,APPROVED,,,,,,,https://receipts.brim.example/002118.pdf,,True
TXN-003217,****-****-****-4002,PILOT TRAVEL 209,89.35,123.21,USD,1.379,2025-08-06 14:00:00,5541,Service Stations,TXC-002,EMP002,Priya Nair,Finance,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/003217.pdf,,True
TXN-001893,****-****-****-4008,SHELL DT #4421,38.75,53.44,USD,1.379,2025-08-06 14:02:00,5541,Service Stations,TXC-008,EMP008,Eric Tran,Operations,EMP003,4,APPROVED,,,,,,,https://receipts.brim.example/001893.pdf,,True
TXN-003750,****-****-****-4008,BEST BUY 112,142.02,195.85,USD,1.379,2025-08-06 15:09:00,5300,Wholesale Clubs,TXC-008,EMP008,Eric Tran,Operations,EMP003,4,APPROVED,,,,,,,https://receipts.brim.example/003750.pdf,,True
TXN-001829,****-****-****-4002,A&W STORE 551,36.17,49.88,USD,1.379,2025-08-06 15:55:00,5814,Fast Food Restaurants,TXC-002,EMP002,Priya Nair,Finance,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/001829.pdf,TRIP-0122,True
TXN-002072,****-****-****-4002,COSTCO WHSE 44,81.64,112.58,USD,1.379,2025-08-06 16:08:00,5300,Wholesale Clubs,TXC-002,EMP002,Priya Nair,Finance,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/002072.pdf,,True
TXN-001828,****-****-****-4002,WENDYS 7781,26.74,36.87,USD,1.379,2025-08-06 17:48:00,5814,Fast Food Restaurants,TXC-002,EMP002,Priya Nair,Finance,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/001828.pdf,TRIP-0122,True
TXN-001739,****-****-****-4003,WENDYS 7781,7.9,10.89,USD,1.379,2025-08-06 18:23:00,5814,Fast Food Restaurants,TXC-003,EMP003,Marcus Webb,Operations,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/001739.pdf,,True
TXN-001886,****-****-****-4009,407 ETR TOLL,13.26,18.29,USD,1.379,2025-08-06 20:28:00,4131,Bus Lines / Tolls,TXC-009,EMP009,Grace Lee,Operations,EMP008,3,APPROVED,,,,,,,https://receipts.brim.example/001886.pdf,,True
TXN-000854,****-****-****-4001,TIM HORTONS #882,21.51,29.66,USD,1.379,2025-08-06 21:40:00,5814,Fast Food Restaurants,TXC-001,EMP001,Olivia Reyes,Executive,,6,APPROVED,,,,,,,https://receipts.brim.example/000854.pdf,,True
TXN-003302,****-****-****-4002,IMPARK LOT 88,15.98,22.04,USD,1.379,2025-08-07 07:01:00,4131,Bus Lines / Tolls,TXC-002,EMP002,Priya Nair,Finance,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/003302.pdf,,True
TXN-001560,****-****-****-4009,SUPER 8 MOTEL,117.24,161.67,USD,1.379,2025-08-07 07:29:00,7011,"Hotels, Motels & Resorts",TXC-009,EMP009,Grace Lee,Operations,EMP008,3,APPROVED,,,,,,,https://receipts.brim.example/001560.pdf,TRIP-0105,True
TXN-002526,****-****-****-4005,MICROSOFT 365,38.35,52.88,USD,1.379,2025-08-07 08:12:00,4814,Telecom Services,TXC-005,EMP005,Dana Park,Finance,EMP002,3,APPROVED,,,,,,,https://receipts.brim.example/002526.pdf,,True
TXN-000335,****-****-****-4006,PILOT TRAVEL 209,67.65,93.29,USD,1.379,2025-08-07 08:31:00,5172,Petroleum & Petroleum Products,TXC-006,EMP006,Bob Kumar,Finance,EMP004,2,APPROVED,,,,,,,https://receipts.brim.example/000335.pdf,,True
TXN-001922,****-****-****-4004,COSTCO WHSE 44,135.7,187.13,USD,1.379,2025-08-07 11:25:00,5300,Wholesale Clubs,TXC-004,EMP004,Alice Chen,Finance,EMP002,4,APPROVED,,,,,,,https://receipts.brim.example/001922.pdf,,True
TXN-003691,****-****-****-4001,TIM HORTONS #882,21.37,29.47,USD,1.379,2025-08-07 12:52:00,5814,Fast Food Restaurants,TXC-001,EMP001,Olivia Reyes,Executive,,6,APPROVED,,,,,,,https://receipts.brim.example/003691.pdf,,True
TXN-002658,****-****-****-4004,WENDYS 7781,19.26,26.56,USD,1.379,2025-08-07 14:02:00,5812,Eating Places & Restaurants,TXC-004,EMP004,Alice Chen,Finance,EMP002,4,APPROVED,,,,,,,https://receipts.brim.example/002658.pdf,,True
TXN-001657,****-****-****-4002,ULTRAMAR 55,81.44,112.31,USD,1.379,2025-08-07 15:41:00,5541,Service Stations,TXC-002,EMP002,Priya Nair,Finance,EMP001,5,APPROVED,,,,,,,https://receipts.brim.example/001657.pdf,,True
